epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,28004.3,1.66102,0.87096,0.8304,0.68824,0.57612,0.60168,0.40483,1.6237,0.96505,0.88107,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,28393.2,1.66125,0.86852,0.83008,0.68807,0.57701,0.60235,0.40486,1.6237,0.96478,0.88102,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,28782.1,1.65858,0.86814,0.82989,0.68777,0.57644,0.60181,0.40472,1.62353,0.96476,0.88105,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,29171.4,1.64584,0.86177,0.83055,0.68498,0.5769,0.60226,0.40512,1.62305,0.96431,0.881,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,29560.2,1.63332,0.8562,0.8299,0.68297,0.57792,0.60267,0.40498,1.6225,0.96394,0.88096,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,29949.4,1.65537,0.85573,0.82803,0.68099,0.5777,0.60231,0.40505,1.62291,0.96432,0.88102,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,30339.5,1.65224,0.85736,0.82627,0.68284,0.57792,0.60253,0.40514,1.62334,0.9643,0.88104,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,30728.8,1.64117,0.85117,0.82736,0.68355,0.57886,0.60245,0.40481,1.62406,0.96457,0.88106,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,31117.6,1.63514,0.84883,0.82595,0.68151,0.57942,0.6023,0.40506,1.62428,0.9648,0.88104,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,31506.3,1.62925,0.84936,0.82587,0.68257,0.57884,0.60229,0.40491,1.62369,0.96446,0.88088,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,31896.4,1.62828,0.84254,0.82567,0.68202,0.57958,0.60245,0.40496,1.62347,0.96457,0.88083,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,32285.2,1.62178,0.84121,0.82601,0.67912,0.58111,0.60233,0.40517,1.62322,0.96411,0.88081,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,32673.6,1.6346,0.84126,0.8246,0.67819,0.58062,0.60211,0.40535,1.62376,0.96419,0.88085,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,33061.6,1.6306,0.8358,0.82413,0.67991,0.57906,0.60193,0.40497,1.6241,0.96447,0.88083,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,33449.7,1.61728,0.83352,0.82428,0.67758,0.58073,0.602,0.4052,1.62375,0.96399,0.88077,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,33838.7,1.61155,0.82921,0.8235,0.67953,0.57923,0.60198,0.40508,1.62358,0.96385,0.88076,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,34228.2,1.61565,0.8257,0.82226,0.68125,0.57787,0.6019,0.40493,1.62409,0.96373,0.88078,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,34617.2,1.61155,0.82724,0.82223,0.68421,0.57525,0.60224,0.40523,1.62398,0.9633,0.88071,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,35005.8,1.59929,0.8199,0.82256,0.68956,0.57319,0.60229,0.40515,1.62383,0.96301,0.88064,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,35394,1.60155,0.82265,0.8223,0.70177,0.5663,0.60201,0.40536,1.62347,0.96288,0.88056,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,35770.4,1.49974,0.77769,0.82737,0.69406,0.56989,0.60195,0.40585,1.62286,0.96243,0.88053,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,36147.1,1.49858,0.77037,0.82583,0.69421,0.57088,0.60224,0.40588,1.62242,0.96196,0.88048,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,36522.7,1.48971,0.7629,0.82428,0.69564,0.57021,0.60215,0.40594,1.62257,0.96217,0.88047,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,36898.7,1.48578,0.75918,0.82248,0.69535,0.57001,0.60168,0.40584,1.62246,0.96216,0.8805,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,37273.8,1.48128,0.75741,0.82338,0.69328,0.57093,0.60155,0.40583,1.62241,0.96225,0.88046,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,37650.7,1.48388,0.75311,0.8219,0.69081,0.57216,0.60144,0.40583,1.62255,0.96206,0.88043,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,38028.3,1.48167,0.75343,0.82239,0.68902,0.57256,0.60125,0.40561,1.62317,0.96226,0.88049,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,38404.7,1.47264,0.74828,0.82124,0.69022,0.57266,0.60124,0.40571,1.6232,0.96225,0.88045,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,38781.3,1.46581,0.74225,0.82124,0.68895,0.57332,0.60121,0.40584,1.62334,0.96234,0.88041,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,39157.4,1.46559,0.74232,0.82025,0.68361,0.57639,0.60092,0.40566,1.62381,0.96264,0.88038,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
